round,date,time,type,place,teams,GF,GA
1,2024.3.23,18:40,HOME,小石川運動場,Intel Biloba Tokyo,3,1
2,2024.3.31,18:45,HOME,ZOZOPARK,八王子フットボールクラブ,0,1
3,2024.4.7,19:05,AWAY,つくばFC万博G,CERVEZA FC 東京,0,1
4,2024.4.21,17:00,HOME,文化杉並学園八王子G,アローレ八王子,0,1
5,2024.4.28,19:00,AWAY,ZOZOPARK,EDO ALL UNITED,3,4
6,2024.5.19,11:35,AWAY,水元総合スポーツセンター,FC.BANDELIE,3,3
7,2024.5.26,17:05,AWAY,つくばFC万博G,FC エコ・プラン,9,1
8,2024.6.9,17:05,HOME,つくばFC万博G,FLUTTO-FLUTTO,3,2
9,2024.6.16,12:00,AWAY,駒澤大学玉川キャンパスG,駒澤大学 GIOCO 世田谷,1,1
10,2024.6.30,17:00,HOME,渋谷区スポーツセンター,SHIBUYA CITY F.C.,0,1
11,2024.7.7,17:00,HOME,東京海上日動多摩G,東京海上フットボールクラブ,3,2
12,2024.7.21,18:30,AWAY,早稲田大学東伏見G,早稲田大学ア式蹴球部FC,0,5
13,2024.8.25,17:05,AWAY,つくばFC万博G,東京ベイフットボールクラブ,5,0
14,2024.9.1,19:05,HOME,つくばFC万博G,東京蹴球団,1,4
15,2024.9.8,17:05,HOME,つくばFC万博G,Criacao Shinjuku Procriar,0,0
16,2024.9.22,19:00,AWAY,三菱養和会 調布G,三菱養和サッカークラブ,1,2
17,2024.9.29,17:05,HOME,つくばFC万博G,アストラ倶楽部,0,4
