name,position,number,birth day,height,weight,from
人見秀司,監督,,1975.8.29,,,暁星高校ー慶應義塾大
荒川滉貴,DF,2,1999.10.23,170,64,FCトッカーノ→FC東京U-15深川→FC東京U-18→東京学芸大学→東京ユナイテッドFCー富士新庄クラブー東京ユナイテッド
杉山俊,MF,6,1998.4.26,174,68,アスルクラロ沼津U12－FCヴァーデュア三島－松本山雅FCU-18－日本体育大学
伊藤光暉,MF,7,1994.4.25,170,71,JSC CHIBA ー 柏レイソルU-15ー 柏レイソルU-18ー 青山学院大学ー 東京ユナイテッドFC ー 東京武蔵野ユナイテッドFC ー 東京ユナイテッドFC
飯田虎之介,MF,8,1998.10.20,167,64,大宮FC七里 - HAN.FC - 伊奈学園総合高等学校 - 日本体育大学 - 東京ユナイテッドFC
星野悟,DF,13,1989.2.4,172,68,図南SC Jrユース-前橋商高-中京大-群馬-町田ゼルビア
小田寛貴,MF,14,1996.3.29,165,60,國學院久我山高-ブリオベッカ浦安-青山学院大
中島健太,MF,15,1989.4.10,170,60,國學院久我山高-早稲田大学－早稲田ユナイテッドFC
貝瀬敦,MF,17,2001.12.2,160,55,田口FA ー 関東第一高校 ー 国士舘大学
上村尚輝,FW,18,1999.3.23,182,75,桐蔭学園高ー中央大学
黄大俊,DF,19,1988.5.3,182,74,前橋育英高校ー東海大学ーホンダロックSCーザスパクサツ群馬 ─東京ユナイテッドFC
藤井壮,DF,20,2002.10.2,180,74,慶應志木高-慶應義塾大
竹内秀太,GK,21,2001.7.29,189,72,桐蔭学園高-慶應義塾大
岩田修平,MF,23,1991.10.14,176,65,名古屋U18-慶應義塾大ー東京ユナイテッドFC
香西克哉,DF,24,1991.4.22,182,73,落合SC ─ FC多摩 ─ 東京ヴェルディユース ─ 桐蔭横浜大 ─ LEOC FC ─ 横浜GSFCコブラ ─ LB-BRB TOKYO ─ 東京武蔵野ユナイテッドFC─ 東京ユナイテッドFC─ 東京ユナイテッドFC+プラス─ 東京ユナイテッドFC
瀬川泰樹,MF,26,1996.6.24,167,64,川口戸塚FCJ ー JFAアカデミ ー 福島U-15 ー JFAアカデミー福島U-18 ー 青山学院大学 ー 東京23FC ー 東京ユナイテッドFC
仲井健人,MF/DF,27,1993.3.4,172,70,久米田FC ー 岸和田高校 ー 筑波大学 ー つくばFCネクスト ー レプロ東京
米田大介,MF,30,1999.2.22,176,66,浦和東高校 ー 駒沢大学ー 東京武蔵野ユナイテッドFC
鈴木悠太,GK,31,1998.6.2,182,77,神戸弘陵学園高-駒澤大
新井秀明,DF,34,2000.3.7,184,75,町田JFC ─ 川崎フロンターレU-15 ─ 川崎フロンターレU-18 ─ 中央大学 ─ 福島ユナイテッドFC ー 東京ユナイテッドFC
広石英太,DF,35,2001.4.16,172,61,湘南ベルマーレU-15平塚 ー 湘南ベルマーレU-18 ー 産業能率大学
